1/1 , 0,17/16, 18 , 9/8 , 38 ,19/16, 55 , 5/4 , 71 ,21/16, 87 ,11/8 , 99 ,23/16, 113 , 3/2 , 127 ,25/16, 139 ,13/8 , 151 ,27/16, 163 , 7/4 , 175 ,29/16, 186 ,15/8 , 198 ,31/16, 214 
32/17, 199 , 1/1 , 0 ,18/17, 17 ,19/17, 36 ,20/17, 52 ,21/17, 67 ,22/17, 82 ,23/17, 93 ,24/17, 108 ,25/17, 121 ,26/17, 132 ,27/17, 145 ,28/17, 156 ,29/17, 167 ,30/17, 177 ,31/17, 188 
16/9 , 179 ,17/9 , 200 , 1/1 , 0 ,19/18, 16 ,10/9 , 34 , 7/6 , 49 ,11/9 , 63 ,23/18, 77 , 4/3 , 90 ,25/18, 103 ,13/9 , 115 , 3/2 , 127 ,14/9 , 138 ,29/18, 147 , 5/3 , 159 ,31/18, 169 
32/19, 162 ,34/19, 181 ,36/19, 201 , 1/1 , 0 ,20/19, 15 ,21/19, 32 ,22/19, 46 ,23/19, 60 ,24/19, 74 ,25/19, 88 ,26/19, 98 ,27/19, 111 ,28/19, 122 ,29/19, 131 ,30/19, 142 ,31/19, 153 
8/5 , 146 ,17/10, 165 , 9/5 , 183 ,19/10, 202 , 1/1 , 0 ,21/20, 14 ,11/10, 30 ,23/20, 44 , 6/5 , 58 , 5/4 , 71 ,13/10, 83 ,27/20, 92 , 7/5 , 105 ,29/20, 117 , 3/2 , 127 ,31/20, 137 
32/21, 130 ,34/21, 150 ,12/7 , 168 ,38/21, 185 ,40/21, 203 , 1/1 , 0 ,22/21, 13 ,23/21, 28 , 8/7 , 42 ,25/21, 56 ,26/21, 68 , 9/7 , 79 , 4/3 , 90 ,29/21, 101 ,10/7 , 112 ,31/21, 123 
16/11, 118 ,17/11, 135 ,18/11, 154 ,19/11, 171 ,20/11, 187 ,21/11, 204 , 1/1 , 0 ,23/22, 12 ,12/11, 27 ,25/22, 41 ,13/11, 53 ,27/22, 65 ,14/11, 76 ,29/22, 89 ,15/11, 97 ,31/22, 107 
32/23, 104 ,34/23, 124 ,36/23, 140 ,38/23, 157 ,40/23, 173 ,42/23, 189 ,44/23, 205 , 1/1 , 0 ,24/23, 11 ,25/23, 26 ,26/23, 39 ,27/23, 51 ,28/23, 62 ,29/23, 73 ,30/23, 84 ,31/23, 91 
4/3 , 90 ,17/12, 109 , 3/2 , 127 ,19/12, 143 , 5/3 , 159 , 7/4 , 175 ,11/6 , 190 ,23/12, 206 , 1/1 , 0 ,25/24, 10 ,13/12, 25 , 9/8 , 38 , 7/6 , 49 ,29/24, 59 , 5/4 , 71 ,31/24, 81 
32/25, 78 ,34/25, 96 ,36/25, 114 ,38/25, 129 , 8/5 , 146 ,42/25, 161 ,44/25, 176 ,46/25, 191 ,48/25, 207 , 1/1 , 0 ,26/25, 9 ,27/25, 24 ,28/25, 37 ,29/25, 47 , 6/5 , 58 ,31/25, 69 
16/13, 66 ,17/13, 85 ,18/13, 102 ,19/13, 119 ,20/13, 134 ,21/13, 149 ,22/13, 164 ,23/13, 178 ,24/13, 192 ,25/13, 208 , 1/1 , 0 ,27/26, 8 ,14/13, 23 ,29/26, 35 ,15/13, 45 ,31/26, 57 
32/27, 54 ,34/27, 72 , 4/3 , 90 ,38/27, 106 ,40/27, 125 ,14/9 , 138 ,44/27, 152 ,46/27, 166 ,16/9 , 179 ,50/27, 193 ,52/27, 209 , 1/1 , 0 ,28/27, 7 ,29/27, 22 ,10/9 , 34 ,31/27, 43 
8/7 , 42 ,17/14, 61 , 9/7 , 79 ,19/14, 95 ,10/7 , 112 , 3/2 , 127 ,11/7 , 141 ,23/14, 155 ,12/7 , 168 ,25/14, 180 ,13/7 , 194 ,27/14, 210 , 1/1 , 0 ,29/28, 6 ,15/14, 21 ,31/28, 33 
32/29, 31 ,34/29, 50 ,36/29, 70 ,38/29, 86 ,40/29, 100 ,42/29, 116 ,44/29, 128 ,46/29, 144 ,48/29, 158 ,50/29, 170 ,52/29, 182 ,54/29, 195 ,56/29, 211 , 1/1 , 0 ,30/29, 5 ,31/29, 20 
16/15, 19 ,17/15, 40 , 6/5 , 58 ,19/15, 75 , 4/3 , 90 , 7/5 , 105 ,22/15, 120 ,23/15, 133 , 8/5 , 146 , 5/3 , 159 ,26/15, 172 , 9/5 , 183 ,28/15, 196 ,29/15, 212 , 1/1 , 0 ,31/30, 4 
32/31, 3 ,34/31, 29 ,36/31, 48 ,38/31, 64 ,40/31, 80 ,42/31, 94 ,44/31, 110 ,46/31, 126 ,48/31, 136 ,50/31, 148 ,52/31, 160 ,54/31, 174 ,56/31, 184 ,58/31, 197 ,60/31, 213 , 1/1 , 0 